TutorId,CourseCodCourse
e5bf1cfa-55c3-49bb-8b99-db8eafb2ca25,250
ab723792-6a03-49fa-8eab-51748eb20237,311
e5bf1cfa-55c3-49bb-8b99-db8eafb2ca25,250
8caf132d-e88a-46e7-81a9-0466a9a6c167,311
e5bf1cfa-55c3-49bb-8b99-db8eafb2ca25,250
ab723792-6a03-49fa-8eab-51748eb20237,311
e5bf1cfa-55c3-49bb-8b99-db8eafb2ca25,250
8caf132d-e88a-46e7-81a9-0466a9a6c167,311
e5bf1cfa-55c3-49bb-8b99-db8eafb2ca25,250
86bb6987-d05f-4cd1-8ddc-10ff06901012,250
86bb6987-d05f-4cd1-8ddc-10ff06901012,250
86bb6987-d05f-4cd1-8ddc-10ff06901012,250
86bb6987-d05f-4cd1-8ddc-10ff06901012,250
89cffc9d-c243-4a5c-a87e-2f2615293f06,252
ab723792-6a03-49fa-8eab-51748eb20237,322
8caf132d-e88a-46e7-81a9-0466a9a6c167,324
43d9bcd5-4870-4eed-ab52-1316876e5bac,458
0df84a6e-3e59-402c-a551-693dd87a3916,1035
05ff3077-0edb-4929-8a35-32f048072b4c,300
43d9bcd5-4870-4eed-ab52-1316876e5bac,302
e5400a33-9479-4ac1-a56a-a63e50305a3b,453
678491a0-c85b-4e1a-8e71-654a8d5c71c4,80
678491a0-c85b-4e1a-8e71-654a8d5c71c4,82
2250d727-5cfb-4e01-87ef-4bd35e5cbda4,84
6419716f-7095-4cd9-b482-1d5fb4a73866,550
0013bcab-3895-48ad-8d19-708a3dda166d,550
0df84a6e-3e59-402c-a551-693dd87a3916,1035
e5bf1cfa-55c3-49bb-8b99-db8eafb2ca25,250
05ff3077-0edb-4929-8a35-32f048072b4c,300
0df84a6e-3e59-402c-a551-693dd87a3916,1035
e5bf1cfa-55c3-49bb-8b99-db8eafb2ca25,250
1d53fcea-c24a-4d90-90c6-ef7d79732ae7,300
e5bf1cfa-55c3-49bb-8b99-db8eafb2ca25,250
1d53fcea-c24a-4d90-90c6-ef7d79732ae7,300
0df84a6e-3e59-402c-a551-693dd87a3916,1035
86bb6987-d05f-4cd1-8ddc-10ff06901012,250
1d53fcea-c24a-4d90-90c6-ef7d79732ae7,300
0df84a6e-3e59-402c-a551-693dd87a3916,1035
1d53fcea-c24a-4d90-90c6-ef7d79732ae7,300
0df84a6e-3e59-402c-a551-693dd87a3916,1035
1d53fcea-c24a-4d90-90c6-ef7d79732ae7,300
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
e5bf1cfa-55c3-49bb-8b99-db8eafb2ca25,252
ab723792-6a03-49fa-8eab-51748eb20237,322
09c2c568-ee98-4342-9a28-70fa2ddce996,458
0df84a6e-3e59-402c-a551-693dd87a3916,1035
1dd8bce4-850b-409c-88ca-0040a24218f8,84
05ff3077-0edb-4929-8a35-32f048072b4c,300
43d9bcd5-4870-4eed-ab52-1316876e5bac,302
9a1996f6-6bde-4d2b-aff3-18e02f2bd506,453
2250d727-5cfb-4e01-87ef-4bd35e5cbda4,80
678491a0-c85b-4e1a-8e71-654a8d5c71c4,82
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
0df84a6e-3e59-402c-a551-693dd87a3916,1035
86bb6987-d05f-4cd1-8ddc-10ff06901012,252
43d9bcd5-4870-4eed-ab52-1316876e5bac,458
0df84a6e-3e59-402c-a551-693dd87a3916,1035
1d53fcea-c24a-4d90-90c6-ef7d79732ae7,300
43d9bcd5-4870-4eed-ab52-1316876e5bac,302
9a1996f6-6bde-4d2b-aff3-18e02f2bd506,455
678491a0-c85b-4e1a-8e71-654a8d5c71c4,80
678491a0-c85b-4e1a-8e71-654a8d5c71c4,82
89cffc9d-c243-4a5c-a87e-2f2615293f06,252
09c2c568-ee98-4342-9a28-70fa2ddce996,458
1d53fcea-c24a-4d90-90c6-ef7d79732ae7,300
43d9bcd5-4870-4eed-ab52-1316876e5bac,302
e5400a33-9479-4ac1-a56a-a63e50305a3b,453
966273cd-e307-48fa-a3b6-4d0cc9aaafca,80
966273cd-e307-48fa-a3b6-4d0cc9aaafca,82
